number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
43,0.45,2023-01-31 16:40:33.119437,2023-01-31 16:40:33.219486,0 days 00:00:00.100049,15,2400,10.726682343169953,533,COMPLETE
44,0.45,2023-01-31 16:40:33.219678,2023-01-31 16:40:33.318093,0 days 00:00:00.098415,14,1100,11.667159510726181,793,COMPLETE
45,0.45,2023-01-31 16:40:33.318287,2023-01-31 16:40:33.422004,0 days 00:00:00.103717,-1,4500,9.919851396753536,632,COMPLETE
46,0.45,2023-01-31 16:40:33.422180,2023-01-31 16:40:33.524770,0 days 00:00:00.102590,12,1600,12.663514435263806,1252,COMPLETE
47,0.45,2023-01-31 16:40:33.524989,2023-01-31 16:40:33.627433,0 days 00:00:00.102444,7,9800,14.996563454378153,438,COMPLETE
48,0.45,2023-01-31 16:40:33.627623,2023-01-31 16:40:33.732588,0 days 00:00:00.104965,2,3600,11.946132842490696,1079,COMPLETE
49,0.45,2023-01-31 16:40:33.732807,2023-01-31 16:40:33.836959,0 days 00:00:00.104152,8,5900,13.115279229334623,299,COMPLETE
50,0.45,2023-01-31 16:40:33.837156,2023-01-31 16:40:33.932931,0 days 00:00:00.095775,10,7100,7.182868746443662,1467,COMPLETE
51,0.45,2023-01-31 16:40:33.933131,2023-01-31 16:40:34.034530,0 days 00:00:00.101399,6,4900,10.428837964641277,1154,COMPLETE
52,0.45,2023-01-31 16:40:34.034741,2023-01-31 16:40:34.137279,0 days 00:00:00.102538,3,3100,11.337511697654076,901,COMPLETE
53,0.45,2023-01-31 16:40:34.137468,2023-01-31 16:40:34.238727,0 days 00:00:00.101259,5,2700,9.827662716420274,879,COMPLETE
54,0.45,2023-01-31 16:40:34.238904,2023-01-31 16:40:34.354156,0 days 00:00:00.115252,4,6700,8.539927536998555,81,COMPLETE
55,0.45,2023-01-31 16:40:34.354332,2023-01-31 16:40:34.454524,0 days 00:00:00.100192,14,5500,5.819566181342525,1358,COMPLETE
