number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.45,2023-01-31 16:32:34.306908,2023-01-31 16:32:34.580573,0 days 00:00:00.273665,8,6000,1.177491908324927,1106,COMPLETE
1,0.45,2023-01-31 16:32:34.580802,2023-01-31 16:32:34.691687,0 days 00:00:00.110885,4,1700,1.952282654915503,453,COMPLETE
2,0.45,2023-01-31 16:32:34.691904,2023-01-31 16:32:34.773695,0 days 00:00:00.081791,1,300,12.394006184481617,1415,COMPLETE
3,0.45,2023-01-31 16:32:34.773875,2023-01-31 16:32:34.864519,0 days 00:00:00.090644,11,8300,12.497496725420827,104,COMPLETE
4,0.45,2023-01-31 16:32:34.864710,2023-01-31 16:32:34.956665,0 days 00:00:00.091955,9,3600,2.8906114416452766,378,COMPLETE
5,0.45,2023-01-31 16:32:34.956881,2023-01-31 16:32:35.061549,0 days 00:00:00.104668,6,6400,3.9707744327267207,808,COMPLETE
6,0.45,2023-01-31 16:32:35.061800,2023-01-31 16:32:35.192004,0 days 00:00:00.130204,2,3300,7.0485330101200905,65,COMPLETE
7,0.45,2023-01-31 16:32:35.192273,2023-01-31 16:32:35.278519,0 days 00:00:00.086246,6,3500,3.3306554874641634,260,COMPLETE
8,0.45,2023-01-31 16:32:35.278742,2023-01-31 16:32:35.360333,0 days 00:00:00.081591,10,2300,9.857039630876653,431,COMPLETE
9,0.45,2023-01-31 16:32:35.360511,2023-01-31 16:32:35.451740,0 days 00:00:00.091229,2,5700,3.249564317660126,369,COMPLETE
10,0.45,2023-01-31 16:32:35.451944,2023-01-31 16:32:35.557071,0 days 00:00:00.105127,15,10000,0.37612251873787705,1236,COMPLETE
11,0.45,2023-01-31 16:32:35.557288,2023-01-31 16:32:35.654037,0 days 00:00:00.096749,5,7200,0.11492569384775919,838,COMPLETE
12,0.45,2023-01-31 16:32:35.654240,2023-01-31 16:32:35.748364,0 days 00:00:00.094124,-1,600,6.565365624932607,1089,COMPLETE
13,0.45,2023-01-31 16:32:35.748597,2023-01-31 16:32:35.854061,0 days 00:00:00.105464,13,4700,0.08906355106990338,668,COMPLETE
14,0.45,2023-01-31 16:32:35.854274,2023-01-31 16:32:35.954208,0 days 00:00:00.099934,8,1900,5.33682110376248,1100,COMPLETE
15,0.45,2023-01-31 16:32:35.954400,2023-01-31 16:32:36.043166,0 days 00:00:00.088766,4,7900,8.691503070618468,577,COMPLETE
16,0.45,2023-01-31 16:32:36.043351,2023-01-31 16:32:36.134359,0 days 00:00:00.091008,4,4800,1.9120503006428882,1016,COMPLETE
17,0.45,2023-01-31 16:32:36.134557,2023-01-31 16:32:36.233050,0 days 00:00:00.098493,7,2100,4.982777058421037,1358,COMPLETE
18,0.45,2023-01-31 16:32:36.233236,2023-01-31 16:32:36.340113,0 days 00:00:00.106877,12,9300,1.7485974880822202,919,COMPLETE
19,0.45,2023-01-31 16:32:36.340315,2023-01-31 16:32:36.434323,0 days 00:00:00.094008,-1,6300,5.11886858493418,591,COMPLETE
20,0.45,2023-01-31 16:32:36.434509,2023-01-31 16:32:36.524080,0 days 00:00:00.089571,8,4300,1.6661952589617757,1195,COMPLETE
21,0.45,2023-01-31 16:32:36.524311,2023-01-31 16:32:36.627334,0 days 00:00:00.103023,2,400,12.775185304722187,1474,COMPLETE
22,0.45,2023-01-31 16:32:36.627582,2023-01-31 16:32:36.748452,0 days 00:00:00.120870,1,1100,14.90504750997089,1476,COMPLETE
23,0.45,2023-01-31 16:32:36.748681,2023-01-31 16:32:36.857926,0 days 00:00:00.109245,4,1500,10.076424889919641,1307,COMPLETE
24,0.45,2023-01-31 16:32:36.858143,2023-01-31 16:32:36.953481,0 days 00:00:00.095338,1,3000,7.913016429966744,964,COMPLETE
25,0.45,2023-01-31 16:32:36.953671,2023-01-31 16:32:37.043321,0 days 00:00:00.089650,3,200,6.006005454024264,1338,COMPLETE
26,0.45,2023-01-31 16:32:37.043503,2023-01-31 16:32:37.144507,0 days 00:00:00.101004,0,5600,4.299543585528644,1149,COMPLETE
27,0.45,2023-01-31 16:32:37.144676,2023-01-31 16:32:37.232539,0 days 00:00:00.087863,6,2700,2.296216330876531,670,COMPLETE
28,0.45,2023-01-31 16:32:37.232716,2023-01-31 16:32:37.319065,0 days 00:00:00.086349,3,900,1.0724515331031428,241,COMPLETE
29,0.45,2023-01-31 16:32:37.319230,2023-01-31 16:32:37.409436,0 days 00:00:00.090206,11,7200,2.8208986351503693,1391,COMPLETE
30,0.45,2023-01-31 16:32:37.409635,2023-01-31 16:32:37.503692,0 days 00:00:00.094057,8,1400,1.078725154626714,509,COMPLETE
31,0.45,2023-01-31 16:32:37.503885,2023-01-31 16:32:37.605782,0 days 00:00:00.101897,10,8900,11.985081885884524,56,COMPLETE
32,0.45,2023-01-31 16:32:37.605971,2023-01-31 16:32:37.697142,0 days 00:00:00.091171,9,8100,3.9422243488422537,239,COMPLETE
33,0.45,2023-01-31 16:32:37.697320,2023-01-31 16:32:37.787010,0 days 00:00:00.089690,13,4100,12.242724758132505,128,COMPLETE
34,0.45,2023-01-31 16:32:37.787224,2023-01-31 16:32:37.889779,0 days 00:00:00.102555,5,6500,2.6653712418911226,358,COMPLETE
35,0.45,2023-01-31 16:32:37.889951,2023-01-31 16:32:37.981364,0 days 00:00:00.091413,7,8400,7.590143736298657,156,COMPLETE
36,0.45,2023-01-31 16:32:37.981542,2023-01-31 16:32:38.075170,0 days 00:00:00.093628,10,7300,3.806226957485724,761,COMPLETE
37,0.45,2023-01-31 16:32:38.075352,2023-01-31 16:32:38.173743,0 days 00:00:00.098391,11,3700,10.556576464791378,415,COMPLETE
38,0.45,2023-01-31 16:32:38.173952,2023-01-31 16:32:38.286475,0 days 00:00:00.112523,1,5900,3.0993622253129534,882,COMPLETE
39,0.45,2023-01-31 16:32:38.286738,2023-01-31 16:32:38.384889,0 days 00:00:00.098151,15,9600,8.66429861792642,25,COMPLETE
40,0.45,2023-01-31 16:32:38.385113,2023-01-31 16:32:38.477438,0 days 00:00:00.092325,5,6900,6.870157051724728,311,COMPLETE
41,0.45,2023-01-31 16:32:38.477658,2023-01-31 16:32:38.571951,0 days 00:00:00.094293,9,2800,2.4827861726888596,179,COMPLETE
42,0.45,2023-01-31 16:32:38.572135,2023-01-31 16:32:38.669929,0 days 00:00:00.097794,13,3500,0.7558590954376103,476,COMPLETE
43,0.45,2023-01-31 16:32:38.670136,2023-01-31 16:32:38.775644,0 days 00:00:00.105508,6,5400,1.2801629132439891,679,COMPLETE
