number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
42,0.45,2023-01-31 16:43:07.982507,2023-01-31 16:43:08.077210,0 days 00:00:00.094703,11,6400,1.4749281299952997,246,COMPLETE
43,0.45,2023-01-31 16:43:08.077449,2023-01-31 16:43:08.186177,0 days 00:00:00.108728,6,7400,1.9609186657127502,1428,COMPLETE
44,0.45,2023-01-31 16:43:08.186401,2023-01-31 16:43:08.320159,0 days 00:00:00.133758,14,9300,4.397640626650739,826,COMPLETE
45,0.45,2023-01-31 16:43:08.320403,2023-01-31 16:43:08.415971,0 days 00:00:00.095568,2,8100,0.2802503027279055,660,COMPLETE
46,0.45,2023-01-31 16:43:08.416206,2023-01-31 16:43:08.537045,0 days 00:00:00.120839,11,5300,5.583339400645931,370,COMPLETE
47,0.45,2023-01-31 16:43:08.537268,2023-01-31 16:43:08.661926,0 days 00:00:00.124658,1,3800,4.199943324389758,474,COMPLETE
48,0.45,2023-01-31 16:43:08.662177,2023-01-31 16:43:08.754919,0 days 00:00:00.092742,6,6300,3.262009799375789,1297,COMPLETE
49,0.45,2023-01-31 16:43:08.755123,2023-01-31 16:43:08.848786,0 days 00:00:00.093663,-1,4400,7.0399266835097745,97,COMPLETE
50,0.45,2023-01-31 16:43:08.848985,2023-01-31 16:43:08.948410,0 days 00:00:00.099425,3,9400,5.562030100656678,967,COMPLETE
51,0.45,2023-01-31 16:43:08.948593,2023-01-31 16:43:09.048112,0 days 00:00:00.099519,4,1600,9.261413053903317,1212,COMPLETE
52,0.45,2023-01-31 16:43:09.048303,2023-01-31 16:43:09.147261,0 days 00:00:00.098958,0,7900,10.219417832678754,1350,COMPLETE
53,0.45,2023-01-31 16:43:09.147487,2023-01-31 16:43:09.254054,0 days 00:00:00.106567,8,2800,8.692644015503081,1444,COMPLETE
54,0.45,2023-01-31 16:43:09.254293,2023-01-31 16:43:09.358543,0 days 00:00:00.104250,5,6000,6.155971056591262,719,COMPLETE
55,0.45,2023-01-31 16:43:09.358753,2023-01-31 16:43:09.465803,0 days 00:00:00.107050,12,5000,7.8495011593298365,1083,COMPLETE
56,0.45,2023-01-31 16:43:09.466040,2023-01-31 16:43:09.577114,0 days 00:00:00.111074,8,5500,9.802658549152397,606,COMPLETE
57,0.45,2023-01-31 16:43:09.577377,2023-01-31 16:43:09.688287,0 days 00:00:00.110910,2,3700,2.5280368530902457,1478,COMPLETE
58,0.45,2023-01-31 16:43:09.688525,2023-01-31 16:43:09.787483,0 days 00:00:00.098958,1,3100,6.9429592117752605,1242,COMPLETE
59,0.45,2023-01-31 16:43:09.787706,2023-01-31 16:43:09.906457,0 days 00:00:00.118751,10,2200,11.006638029913814,1139,COMPLETE
60,0.45,2023-01-31 16:43:09.906771,2023-01-31 16:43:10.015481,0 days 00:00:00.108710,3,8400,4.006964512809233,17,COMPLETE
61,0.45,2023-01-31 16:43:10.015701,2023-01-31 16:43:10.125838,0 days 00:00:00.110137,9,4700,9.5288104458069,1380,COMPLETE
62,0.45,2023-01-31 16:43:10.126079,2023-01-31 16:43:10.239050,0 days 00:00:00.112971,14,4100,8.956608155791011,1274,COMPLETE
63,0.45,2023-01-31 16:43:10.239305,2023-01-31 16:43:10.348586,0 days 00:00:00.109281,7,5400,7.90484248740491,1376,COMPLETE
64,0.45,2023-01-31 16:43:10.348818,2023-01-31 16:43:10.458410,0 days 00:00:00.109592,10,4200,10.539504441801263,1337,COMPLETE
65,0.45,2023-01-31 16:43:10.458616,2023-01-31 16:43:10.567579,0 days 00:00:00.108963,11,5100,4.860407295383931,1489,COMPLETE
66,0.45,2023-01-31 16:43:10.567815,2023-01-31 16:43:10.696190,0 days 00:00:00.128375,14,3300,11.443027197929302,1412,COMPLETE
67,0.45,2023-01-31 16:43:10.696441,2023-01-31 16:43:10.807400,0 days 00:00:00.110959,12,6800,7.422344764054513,287,COMPLETE
68,0.45,2023-01-31 16:43:10.807621,2023-01-31 16:43:10.916055,0 days 00:00:00.108434,7,3900,8.408063173091085,1184,COMPLETE
69,0.45,2023-01-31 16:43:10.916297,2023-01-31 16:43:11.030116,0 days 00:00:00.113819,0,4600,10.228938714650164,803,COMPLETE
70,0.45,2023-01-31 16:43:11.030338,2023-01-31 16:43:11.134846,0 days 00:00:00.104508,5,6200,12.019485083937811,1047,COMPLETE
71,0.45,2023-01-31 16:43:11.135095,2023-01-31 16:43:11.235284,0 days 00:00:00.100189,4,5700,3.6533835564490107,475,COMPLETE
72,0.45,2023-01-31 16:43:11.235481,2023-01-31 16:43:11.329309,0 days 00:00:00.093828,2,1000,3.09244750111061,390,COMPLETE
