number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,,2023-01-31 16:28:50.662911,2023-01-31 16:28:50.970359,0 days 00:00:00.307448,8,6300,2.7465997313645025,1228,FAIL
1,,2023-01-31 16:28:50.970613,2023-01-31 16:28:51.079412,0 days 00:00:00.108799,4,2800,12.490252499484113,1365,FAIL
2,,2023-01-31 16:28:51.079662,2023-01-31 16:28:51.182900,0 days 00:00:00.103238,9,1700,3.33038833998738,757,FAIL
3,,2023-01-31 16:28:51.183096,2023-01-31 16:28:51.278130,0 days 00:00:00.095034,13,8000,9.813909533003212,118,FAIL
4,,2023-01-31 16:28:51.278342,2023-01-31 16:28:51.382994,0 days 00:00:00.104652,0,10000,5.724488333776433,1204,FAIL
5,,2023-01-31 16:28:51.383189,2023-01-31 16:28:51.477381,0 days 00:00:00.094192,3,8300,9.936176240138122,246,FAIL
6,,2023-01-31 16:28:51.477580,2023-01-31 16:28:51.575740,0 days 00:00:00.098160,0,500,1.911021030849303,827,FAIL
7,,2023-01-31 16:28:51.575930,2023-01-31 16:28:51.672093,0 days 00:00:00.096163,8,5800,14.151760162538132,1461,FAIL
8,,2023-01-31 16:28:51.672293,2023-01-31 16:28:51.770595,0 days 00:00:00.098302,8,1700,1.1665752114123862,1289,FAIL
9,,2023-01-31 16:28:51.770782,2023-01-31 16:28:51.877535,0 days 00:00:00.106753,12,3400,3.6786621490293463,401,FAIL
10,,2023-01-31 16:28:51.877738,2023-01-31 16:28:52.010238,0 days 00:00:00.132500,5,900,8.20993808873646,1130,FAIL
11,,2023-01-31 16:28:52.010433,2023-01-31 16:28:52.103117,0 days 00:00:00.092684,10,6500,11.407935838682599,1064,FAIL
12,,2023-01-31 16:28:52.103317,2023-01-31 16:28:52.198671,0 days 00:00:00.095354,1,7300,3.006927647139151,212,FAIL
13,,2023-01-31 16:28:52.198882,2023-01-31 16:28:52.286117,0 days 00:00:00.087235,5,4200,9.987882097837538,1431,FAIL
14,,2023-01-31 16:28:52.286310,2023-01-31 16:28:52.379485,0 days 00:00:00.093175,4,6400,10.235190098962958,823,FAIL
15,,2023-01-31 16:28:52.379681,2023-01-31 16:28:52.471534,0 days 00:00:00.091853,12,6400,6.984423170234724,702,FAIL
16,,2023-01-31 16:28:52.471739,2023-01-31 16:28:52.569425,0 days 00:00:00.097686,-1,1700,0.7853697532774945,627,FAIL
17,,2023-01-31 16:28:52.569610,2023-01-31 16:28:52.662496,0 days 00:00:00.092886,10,7900,4.424977268940812,483,FAIL
18,,2023-01-31 16:28:52.662704,2023-01-31 16:28:52.752722,0 days 00:00:00.090018,8,9800,2.510313435889408,1476,FAIL
19,,2023-01-31 16:28:52.752923,2023-01-31 16:28:52.855125,0 days 00:00:00.102202,9,7700,12.40650039615475,288,FAIL
20,,2023-01-31 16:28:52.855326,2023-01-31 16:28:52.948760,0 days 00:00:00.093434,0,2100,13.487286010215168,1162,FAIL
21,,2023-01-31 16:28:52.948965,2023-01-31 16:28:53.050270,0 days 00:00:00.101305,14,1100,8.978585490662347,74,FAIL
22,,2023-01-31 16:28:53.050492,2023-01-31 16:28:53.143768,0 days 00:00:00.093276,5,8500,0.28667559240229845,1292,FAIL
23,,2023-01-31 16:28:53.143959,2023-01-31 16:28:53.239689,0 days 00:00:00.095730,10,1700,0.8485105265351067,480,FAIL
24,,2023-01-31 16:28:53.239877,2023-01-31 16:28:53.329706,0 days 00:00:00.089829,11,1700,0.5726515446709274,1151,FAIL
25,,2023-01-31 16:28:53.329898,2023-01-31 16:28:53.420361,0 days 00:00:00.090463,1,8700,4.964544874312878,311,FAIL
26,,2023-01-31 16:28:53.420551,2023-01-31 16:28:53.508940,0 days 00:00:00.088389,4,4300,0.44537229374719156,1248,FAIL
27,,2023-01-31 16:28:53.509136,2023-01-31 16:28:53.606513,0 days 00:00:00.097377,0,1600,12.924075460982532,144,FAIL
28,,2023-01-31 16:28:53.606709,2023-01-31 16:28:53.712362,0 days 00:00:00.105653,1,3100,2.036973184631503,263,FAIL
29,,2023-01-31 16:28:53.712550,2023-01-31 16:28:53.816282,0 days 00:00:00.103732,15,3800,6.08519082439525,998,FAIL
30,,2023-01-31 16:28:53.816478,2023-01-31 16:28:53.913368,0 days 00:00:00.096890,0,9100,10.035779731347084,1341,FAIL
31,,2023-01-31 16:28:53.913568,2023-01-31 16:28:54.005180,0 days 00:00:00.091612,7,4300,13.398180085144922,447,FAIL
32,,2023-01-31 16:28:54.005376,2023-01-31 16:28:54.098065,0 days 00:00:00.092689,1,2600,7.534609055520642,1450,FAIL
33,,2023-01-31 16:28:54.098255,2023-01-31 16:28:54.187002,0 days 00:00:00.088747,2,5800,3.1060385457558266,503,FAIL
34,,2023-01-31 16:28:54.187190,2023-01-31 16:28:54.283946,0 days 00:00:00.096756,4,5400,12.864932003972198,629,FAIL
35,,2023-01-31 16:28:54.284203,2023-01-31 16:28:54.401901,0 days 00:00:00.117698,5,9900,8.377085183206503,348,FAIL
36,,2023-01-31 16:28:54.402113,2023-01-31 16:28:54.513039,0 days 00:00:00.110926,7,7200,2.7503562518721028,612,FAIL
37,,2023-01-31 16:28:54.513235,2023-01-31 16:28:54.613008,0 days 00:00:00.099773,3,700,8.022053432971502,825,FAIL
38,,2023-01-31 16:28:54.613211,2023-01-31 16:28:54.714031,0 days 00:00:00.100820,-1,5800,10.737682861023794,1399,FAIL
39,,2023-01-31 16:28:54.714231,2023-01-31 16:28:54.823962,0 days 00:00:00.109731,4,4800,1.956164141081601,771,FAIL
