number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
42,0.45,2023-01-31 16:43:19.149471,2023-01-31 16:43:19.245702,0 days 00:00:00.096231,5,1900,2.5069721112593215,711,COMPLETE
43,0.45,2023-01-31 16:43:19.245916,2023-01-31 16:43:19.342905,0 days 00:00:00.096989,7,1400,6.596316131909847,613,COMPLETE
44,0.45,2023-01-31 16:43:19.343112,2023-01-31 16:43:19.448688,0 days 00:00:00.105576,8,5400,4.333469447960782,853,COMPLETE
45,0.45,2023-01-31 16:43:19.448906,2023-01-31 16:43:19.548062,0 days 00:00:00.099156,10,4700,2.942937055816984,523,COMPLETE
46,0.45,2023-01-31 16:43:19.548320,2023-01-31 16:43:19.652803,0 days 00:00:00.104483,15,700,4.979996767085147,457,COMPLETE
47,0.45,2023-01-31 16:43:19.653021,2023-01-31 16:43:19.754847,0 days 00:00:00.101826,0,1600,0.13183815448468117,653,COMPLETE
48,0.45,2023-01-31 16:43:19.755056,2023-01-31 16:43:19.880921,0 days 00:00:00.125865,13,2900,5.762612837223488,309,COMPLETE
49,0.45,2023-01-31 16:43:19.881134,2023-01-31 16:43:20.010020,0 days 00:00:00.128886,6,3900,3.4607446314071995,1042,COMPLETE
50,0.45,2023-01-31 16:43:20.010259,2023-01-31 16:43:20.144075,0 days 00:00:00.133816,10,7700,7.575988517631682,971,COMPLETE
51,0.45,2023-01-31 16:43:20.144288,2023-01-31 16:43:20.275586,0 days 00:00:00.131298,4,2600,7.05972242242402,499,COMPLETE
52,0.45,2023-01-31 16:43:20.275822,2023-01-31 16:43:20.412456,0 days 00:00:00.136634,4,8700,3.964846743314224,790,COMPLETE
53,0.45,2023-01-31 16:43:20.412664,2023-01-31 16:43:20.508294,0 days 00:00:00.095630,2,6000,2.5526295538575274,733,COMPLETE
54,0.45,2023-01-31 16:43:20.508509,2023-01-31 16:43:20.615849,0 days 00:00:00.107340,3,800,5.5229065296740565,359,COMPLETE
55,0.45,2023-01-31 16:43:20.616069,2023-01-31 16:43:20.720910,0 days 00:00:00.104841,7,2300,3.563301211247538,151,COMPLETE
56,0.45,2023-01-31 16:43:20.721127,2023-01-31 16:43:20.827720,0 days 00:00:00.106593,5,1500,1.574634442264021,639,COMPLETE
57,0.45,2023-01-31 16:43:20.827943,2023-01-31 16:43:20.926296,0 days 00:00:00.098353,2,3500,6.204343494483148,833,COMPLETE
58,0.45,2023-01-31 16:43:20.926500,2023-01-31 16:43:21.026699,0 days 00:00:00.100199,9,9800,5.027608033006171,1163,COMPLETE
59,0.45,2023-01-31 16:43:21.026905,2023-01-31 16:43:21.123407,0 days 00:00:00.096502,12,7200,2.190734434485605,912,COMPLETE
60,0.45,2023-01-31 16:43:21.123613,2023-01-31 16:43:21.238625,0 days 00:00:00.115012,8,500,3.315268251633326,1443,COMPLETE
61,0.45,2023-01-31 16:43:21.238832,2023-01-31 16:43:21.335920,0 days 00:00:00.097088,1,9400,8.52392232369006,91,COMPLETE
62,0.45,2023-01-31 16:43:21.336123,2023-01-31 16:43:21.432248,0 days 00:00:00.096125,6,8800,13.56591685939927,161,COMPLETE
63,0.45,2023-01-31 16:43:21.432474,2023-01-31 16:43:21.532269,0 days 00:00:00.099795,3,8600,4.36329218007393,1089,COMPLETE
64,0.45,2023-01-31 16:43:21.532465,2023-01-31 16:43:21.641374,0 days 00:00:00.108909,4,7900,2.843663489963447,37,COMPLETE
65,0.45,2023-01-31 16:43:21.641591,2023-01-31 16:43:21.745588,0 days 00:00:00.103997,2,10000,10.110679426605154,1317,COMPLETE
66,0.45,2023-01-31 16:43:21.745811,2023-01-31 16:43:21.845556,0 days 00:00:00.099745,5,6600,1.2380211445316391,392,COMPLETE
67,0.45,2023-01-31 16:43:21.845773,2023-01-31 16:43:21.948714,0 days 00:00:00.102941,15,1200,1.9884985010567073,871,COMPLETE
68,0.45,2023-01-31 16:43:21.948950,2023-01-31 16:43:22.047082,0 days 00:00:00.098132,6,9100,3.9834256022865473,789,COMPLETE
69,0.45,2023-01-31 16:43:22.047280,2023-01-31 16:43:22.147190,0 days 00:00:00.099910,14,9600,12.213622009441066,692,COMPLETE
70,0.45,2023-01-31 16:43:22.147415,2023-01-31 16:43:22.302949,0 days 00:00:00.155534,0,1800,3.194011372477735,1202,COMPLETE
71,0.45,2023-01-31 16:43:22.303173,2023-01-31 16:43:22.402524,0 days 00:00:00.099351,14,3000,0.7780883793099562,172,COMPLETE
72,0.45,2023-01-31 16:43:22.402766,2023-01-31 16:43:22.505277,0 days 00:00:00.102511,15,2300,2.0695316514390694,114,COMPLETE
73,0.45,2023-01-31 16:43:22.505487,2023-01-31 16:43:22.606073,0 days 00:00:00.100586,13,4700,2.353846600822985,574,COMPLETE
74,0.45,2023-01-31 16:43:22.606289,2023-01-31 16:43:22.706394,0 days 00:00:00.100105,7,8500,2.6468239640936435,218,COMPLETE
75,0.45,2023-01-31 16:43:22.706629,2023-01-31 16:43:22.815000,0 days 00:00:00.108371,3,5700,4.41078336354581,964,COMPLETE
76,0.45,2023-01-31 16:43:22.815238,2023-01-31 16:43:22.919092,0 days 00:00:00.103854,9,3500,3.8381776003499697,489,COMPLETE
77,0.45,2023-01-31 16:43:22.919340,2023-01-31 16:43:23.021590,0 days 00:00:00.102250,15,4000,2.9483799308351344,74,COMPLETE
78,0.45,2023-01-31 16:43:23.021817,2023-01-31 16:43:23.120508,0 days 00:00:00.098691,14,4400,4.820676459604773,611,COMPLETE
79,0.45,2023-01-31 16:43:23.120696,2023-01-31 16:43:23.220144,0 days 00:00:00.099448,5,1300,5.2691939076723475,746,COMPLETE
80,0.45,2023-01-31 16:43:23.220385,2023-01-31 16:43:23.331603,0 days 00:00:00.111218,13,1700,5.8450380626474026,226,COMPLETE
81,0.45,2023-01-31 16:43:23.331832,2023-01-31 16:43:23.439965,0 days 00:00:00.108133,0,2600,4.739444983474146,19,COMPLETE
82,0.45,2023-01-31 16:43:23.440210,2023-01-31 16:43:23.543444,0 days 00:00:00.103234,4,2200,4.169034346356375,71,COMPLETE
83,0.45,2023-01-31 16:43:23.543683,2023-01-31 16:43:23.651485,0 days 00:00:00.107802,-1,1000,5.263722929218172,1040,COMPLETE
