number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.7333333333333332,2023-02-01 00:28:19.208798,2023-02-01 00:28:20.537226,0 days 00:00:01.328428,17,2,69,COMPLETE
1,0.711111111111111,2023-02-01 00:28:20.537408,2023-02-01 00:28:21.232606,0 days 00:00:00.695198,15,5,62,COMPLETE
2,0.7333333333333332,2023-02-01 00:28:21.232804,2023-02-01 00:28:22.314263,0 days 00:00:01.081459,12,2,71,COMPLETE
3,0.711111111111111,2023-02-01 00:28:22.314452,2023-02-01 00:28:23.047529,0 days 00:00:00.733077,16,5,19,COMPLETE
4,0.711111111111111,2023-02-01 00:28:23.047743,2023-02-01 00:28:23.724022,0 days 00:00:00.676279,17,5,24,COMPLETE
5,0.7777777777777777,2023-02-01 00:28:23.724228,2023-02-01 00:28:24.610944,0 days 00:00:00.886716,8,3,59,COMPLETE
6,0.7777777777777777,2023-02-01 00:28:24.611145,2023-02-01 00:28:25.515058,0 days 00:00:00.903913,8,3,97,COMPLETE
7,0.7555555555555555,2023-02-01 00:28:25.515260,2023-02-01 00:28:26.290865,0 days 00:00:00.775605,7,4,27,COMPLETE
8,0.7555555555555555,2023-02-01 00:28:26.291057,2023-02-01 00:28:27.086523,0 days 00:00:00.795466,14,4,28,COMPLETE
9,0.711111111111111,2023-02-01 00:28:27.086711,2023-02-01 00:28:27.772793,0 days 00:00:00.686082,18,5,42,COMPLETE
10,0.7333333333333333,2023-02-01 00:28:27.772974,2023-02-01 00:28:28.554844,0 days 00:00:00.781870,4,3,85,COMPLETE
11,0.7777777777777777,2023-02-01 00:28:28.555044,2023-02-01 00:28:29.457867,0 days 00:00:00.902823,8,3,100,COMPLETE
12,0.7777777777777777,2023-02-01 00:28:29.458059,2023-02-01 00:28:30.351407,0 days 00:00:00.893348,9,3,47,COMPLETE
13,0.711111111111111,2023-02-01 00:28:30.351602,2023-02-01 00:28:30.994277,0 days 00:00:00.642675,3,3,97,COMPLETE
14,0.7333333333333332,2023-02-01 00:28:30.994469,2023-02-01 00:28:32.035472,0 days 00:00:01.041003,6,2,83,COMPLETE
15,0.7555555555555555,2023-02-01 00:28:32.035680,2023-02-01 00:28:32.817449,0 days 00:00:00.781769,11,4,43,COMPLETE
16,0.7777777777777777,2023-02-01 00:28:32.817651,2023-02-01 00:28:33.708242,0 days 00:00:00.890591,10,3,55,COMPLETE
17,0.7555555555555555,2023-02-01 00:28:33.708449,2023-02-01 00:28:34.460307,0 days 00:00:00.751858,5,4,88,COMPLETE
18,0.7333333333333332,2023-02-01 00:28:34.460486,2023-02-01 00:28:35.553128,0 days 00:00:01.092642,20,2,76,COMPLETE
19,0.7777777777777777,2023-02-01 00:28:35.553355,2023-02-01 00:28:36.449865,0 days 00:00:00.896510,12,3,58,COMPLETE
20,0.7555555555555555,2023-02-01 00:28:36.450049,2023-02-01 00:28:37.223096,0 days 00:00:00.773047,8,4,37,COMPLETE
21,0.7777777777777777,2023-02-01 00:28:37.223296,2023-02-01 00:28:38.125543,0 days 00:00:00.902247,8,3,99,COMPLETE
22,0.7555555555555555,2023-02-01 00:28:38.125749,2023-02-01 00:28:39.007667,0 days 00:00:00.881918,6,3,93,COMPLETE
23,0.7777777777777777,2023-02-01 00:28:39.007871,2023-02-01 00:28:39.901440,0 days 00:00:00.893569,10,3,79,COMPLETE
24,0.7555555555555555,2023-02-01 00:28:39.901640,2023-02-01 00:28:40.990951,0 days 00:00:01.089311,8,2,94,COMPLETE
25,0.7777777777777777,2023-02-01 00:28:40.991152,2023-02-01 00:28:41.883283,0 days 00:00:00.892131,13,3,90,COMPLETE
26,0.7555555555555555,2023-02-01 00:28:41.883484,2023-02-01 00:28:42.662738,0 days 00:00:00.779254,10,4,69,COMPLETE
27,0.7555555555555555,2023-02-01 00:28:42.662932,2023-02-01 00:28:43.534267,0 days 00:00:00.871335,6,3,77,COMPLETE
28,0.7333333333333332,2023-02-01 00:28:43.534470,2023-02-01 00:28:44.389145,0 days 00:00:00.854675,4,2,99,COMPLETE
29,0.7333333333333332,2023-02-01 00:28:44.389353,2023-02-01 00:28:45.482050,0 days 00:00:01.092697,9,2,62,COMPLETE
30,0.7777777777777777,2023-02-01 00:28:45.482258,2023-02-01 00:28:46.380702,0 days 00:00:00.898444,7,3,50,COMPLETE
31,0.7777777777777777,2023-02-01 00:28:46.380906,2023-02-01 00:28:47.273597,0 days 00:00:00.892691,9,3,49,COMPLETE
32,0.7777777777777777,2023-02-01 00:28:47.273807,2023-02-01 00:28:48.171694,0 days 00:00:00.897887,9,3,66,COMPLETE
33,0.7777777777777777,2023-02-01 00:28:48.171897,2023-02-01 00:28:49.061084,0 days 00:00:00.889187,11,3,33,COMPLETE
34,0.7555555555555555,2023-02-01 00:28:49.061298,2023-02-01 00:28:50.173872,0 days 00:00:01.112574,7,2,50,COMPLETE
35,0.7777777777777777,2023-02-01 00:28:50.174074,2023-02-01 00:28:51.067961,0 days 00:00:00.893887,13,3,42,COMPLETE
36,0.7555555555555555,2023-02-01 00:28:51.068163,2023-02-01 00:28:51.874398,0 days 00:00:00.806235,8,4,16,COMPLETE
37,0.7777777777777777,2023-02-01 00:28:51.874605,2023-02-01 00:28:52.714027,0 days 00:00:00.839422,5,3,72,COMPLETE
38,0.7555555555555555,2023-02-01 00:28:52.714221,2023-02-01 00:28:53.487191,0 days 00:00:00.772970,10,4,82,COMPLETE
39,0.7555555555555555,2023-02-01 00:28:53.487372,2023-02-01 00:28:54.548493,0 days 00:00:01.061121,7,2,34,COMPLETE
40,0.7777777777777777,2023-02-01 00:28:54.548706,2023-02-01 00:28:55.457400,0 days 00:00:00.908694,15,3,58,COMPLETE
41,0.7777777777777777,2023-02-01 00:28:55.457607,2023-02-01 00:28:56.353138,0 days 00:00:00.895531,10,3,54,COMPLETE
42,0.7777777777777777,2023-02-01 00:28:56.353347,2023-02-01 00:28:57.247474,0 days 00:00:00.894127,11,3,64,COMPLETE
43,0.7777777777777777,2023-02-01 00:28:57.247696,2023-02-01 00:28:58.145923,0 days 00:00:00.898227,9,3,47,COMPLETE
44,0.7777777777777777,2023-02-01 00:28:58.146130,2023-02-01 00:28:59.036030,0 days 00:00:00.889900,7,3,54,COMPLETE
45,0.7555555555555555,2023-02-01 00:28:59.036239,2023-02-01 00:28:59.812183,0 days 00:00:00.775944,12,4,25,COMPLETE
46,0.7777777777777777,2023-02-01 00:28:59.812402,2023-02-01 00:29:00.748645,0 days 00:00:00.936243,9,3,45,COMPLETE
47,0.7777777777777777,2023-02-01 00:29:00.748838,2023-02-01 00:29:01.604399,0 days 00:00:00.855561,5,3,39,COMPLETE
48,0.7555555555555555,2023-02-01 00:29:01.604610,2023-02-01 00:29:02.394163,0 days 00:00:00.789553,11,4,88,COMPLETE
49,0.7555555555555555,2023-02-01 00:29:02.394369,2023-02-01 00:29:03.467075,0 days 00:00:01.072706,8,2,73,COMPLETE
