number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.0,2023-01-31 15:56:18.013974,2023-01-31 15:56:18.219429,0 days 00:00:00.205455,3,2100,10.12545016183209,1001,COMPLETE
1,0.0,2023-01-31 15:56:18.221419,2023-01-31 15:56:18.458781,0 days 00:00:00.237362,8,2300,0.05061148571978369,354,COMPLETE
2,0.0,2023-01-31 15:56:18.460777,2023-01-31 15:56:18.631318,0 days 00:00:00.170541,14,8500,14.779053466465852,1172,COMPLETE
3,0.0,2023-01-31 15:56:18.635308,2023-01-31 15:56:18.941487,0 days 00:00:00.306179,-1,5900,11.545032681362237,1067,COMPLETE
4,0.0,2023-01-31 15:56:18.949467,2023-01-31 15:56:19.148931,0 days 00:00:00.199464,14,1800,5.861106292463405,928,COMPLETE
5,0.0,2023-01-31 15:56:19.149928,2023-01-31 15:56:19.267612,0 days 00:00:00.117684,8,200,13.535590628046714,1318,COMPLETE
6,0.0,2023-01-31 15:56:19.268610,2023-01-31 15:56:19.381308,0 days 00:00:00.112698,5,6300,3.3081237966623736,964,COMPLETE
7,0.0,2023-01-31 15:56:19.382305,2023-01-31 15:56:19.493008,0 days 00:00:00.110703,12,8900,0.19417760236161763,1251,COMPLETE
8,0.0,2023-01-31 15:56:19.494011,2023-01-31 15:56:19.601717,0 days 00:00:00.107706,1,9200,1.5298642220120335,853,COMPLETE
9,0.0,2023-01-31 15:56:19.603714,2023-01-31 15:56:19.716410,0 days 00:00:00.112696,15,9200,2.4144651919507094,1057,COMPLETE
10,0.0,2023-01-31 15:56:19.718405,2023-01-31 15:56:19.863017,0 days 00:00:00.144612,3,3900,9.51620896716907,509,COMPLETE
11,0.0,2023-01-31 15:56:19.865014,2023-01-31 15:56:19.979704,0 days 00:00:00.114690,8,3100,7.05914020367128,22,COMPLETE
12,0.0,2023-01-31 15:56:19.980702,2023-01-31 15:56:20.116338,0 days 00:00:00.135636,5,1400,9.425326096002353,530,COMPLETE
13,0.0,2023-01-31 15:56:20.117337,2023-01-31 15:56:20.259953,0 days 00:00:00.142616,10,4000,4.7152254464513215,164,COMPLETE
