number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.0,2023-01-31 14:11:12.999753,2023-01-31 14:11:13.198329,0 days 00:00:00.198576,15,7000,8.921735245897374,856,COMPLETE
1,0.0,2023-01-31 14:11:13.198426,2023-01-31 14:11:13.367872,0 days 00:00:00.169446,4,4900,9.908630682540256,1154,COMPLETE
2,0.0,2023-01-31 14:11:13.367960,2023-01-31 14:11:13.491883,0 days 00:00:00.123923,14,6200,12.919504365237968,265,COMPLETE
3,0.0,2023-01-31 14:11:13.491971,2023-01-31 14:11:13.575463,0 days 00:00:00.083492,11,1000,7.950668415451931,283,COMPLETE
4,0.0,2023-01-31 14:11:13.575554,2023-01-31 14:11:13.654026,0 days 00:00:00.078472,10,6600,2.2444961601152773,265,COMPLETE
