number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.0,2023-01-31 14:09:26.889953,2023-01-31 14:09:27.229874,0 days 00:00:00.339921,-1,7500,7.972681685706066,1154,COMPLETE
1,0.0,2023-01-31 14:09:27.229975,2023-01-31 14:09:27.343528,0 days 00:00:00.113553,1,8300,14.91370608437686,778,COMPLETE
2,0.0,2023-01-31 14:09:27.343661,2023-01-31 14:09:27.429903,0 days 00:00:00.086242,10,4100,10.83014124717341,867,COMPLETE
3,0.0,2023-01-31 14:09:27.429991,2023-01-31 14:09:27.522173,0 days 00:00:00.092182,6,3700,3.255664513746833,1426,COMPLETE
4,0.0,2023-01-31 14:09:27.522262,2023-01-31 14:09:27.606272,0 days 00:00:00.084010,6,3600,12.364998545819759,674,COMPLETE
