number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.0,2023-01-31 14:38:27.755046,2023-01-31 14:38:28.027720,0 days 00:00:00.272674,0,8900,1.7884439424379905,536,COMPLETE
1,0.0,2023-01-31 14:38:28.027912,2023-01-31 14:38:28.116627,0 days 00:00:00.088715,4,200,10.264784510341638,951,COMPLETE
2,0.0,2023-01-31 14:38:28.116772,2023-01-31 14:38:28.202902,0 days 00:00:00.086130,-1,2100,0.5609404178378524,998,COMPLETE
3,0.0,2023-01-31 14:38:28.203065,2023-01-31 14:38:28.272903,0 days 00:00:00.069838,1,1000,11.223256250903647,1447,COMPLETE
4,0.0,2023-01-31 14:38:28.273066,2023-01-31 14:38:28.349928,0 days 00:00:00.076862,4,9600,4.982145311957021,1498,COMPLETE
5,0.0,2023-01-31 14:38:28.350104,2023-01-31 14:38:28.429979,0 days 00:00:00.079875,13,1900,6.471806298823162,327,COMPLETE
6,0.0,2023-01-31 14:38:28.430139,2023-01-31 14:38:28.498231,0 days 00:00:00.068092,1,2100,5.238972303634147,363,COMPLETE
7,0.0,2023-01-31 14:38:28.498395,2023-01-31 14:38:28.569624,0 days 00:00:00.071229,11,7800,4.3055586296332855,572,COMPLETE
8,0.0,2023-01-31 14:38:28.569769,2023-01-31 14:38:28.640641,0 days 00:00:00.070872,1,4000,14.268557632898577,152,COMPLETE
9,0.0,2023-01-31 14:38:28.640780,2023-01-31 14:38:28.710374,0 days 00:00:00.069594,9,6500,1.3675421424152452,548,COMPLETE
10,0.0,2023-01-31 14:38:28.710533,2023-01-31 14:38:28.788875,0 days 00:00:00.078342,6,9900,2.6508735044315066,52,COMPLETE
11,0.0,2023-01-31 14:38:28.789033,2023-01-31 14:38:28.865709,0 days 00:00:00.076676,4,4700,9.065805176685402,1004,COMPLETE
12,0.0,2023-01-31 14:38:28.865854,2023-01-31 14:38:28.941302,0 days 00:00:00.075448,5,7000,8.665881038036073,940,COMPLETE
13,0.0,2023-01-31 14:38:28.941467,2023-01-31 14:38:29.021222,0 days 00:00:00.079755,-1,4000,0.17927357924939002,762,COMPLETE
14,0.0,2023-01-31 14:38:29.021394,2023-01-31 14:38:29.098070,0 days 00:00:00.076676,3,300,7.561141227257447,1208,COMPLETE
15,0.0,2023-01-31 14:38:29.098235,2023-01-31 14:38:29.173955,0 days 00:00:00.075720,8,6000,10.66044914906659,742,COMPLETE
16,0.0,2023-01-31 14:38:29.174113,2023-01-31 14:38:29.249841,0 days 00:00:00.075728,15,8600,2.8784057417123528,1217,COMPLETE
