number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.0,2023-01-31 13:25:30.148983,2023-01-31 13:25:30.249585,0 days 00:00:00.100602,15,7900,5.241289183323926,475,COMPLETE
1,0.0,2023-01-31 13:25:30.249585,2023-01-31 13:25:30.339345,0 days 00:00:00.089760,4,8200,5.309760999497867,911,COMPLETE
2,0.0,2023-01-31 13:25:30.339345,2023-01-31 13:25:30.439079,0 days 00:00:00.099734,-1,2900,5.712316798984081,841,COMPLETE
3,0.0,2023-01-31 13:25:30.439079,2023-01-31 13:25:30.536817,0 days 00:00:00.097738,9,6100,4.737080611443,169,COMPLETE
4,0.0,2023-01-31 13:25:30.536817,2023-01-31 13:25:30.756234,0 days 00:00:00.219417,3,200,3.601914926455038,121,COMPLETE
