number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.7043478260869565,2023-01-31 21:05:03.415861,2023-01-31 21:05:03.485164,0 days 00:00:00.069303,0.05141930657326197,0.9832430135170183,COMPLETE
1,0.6956521739130435,2023-01-31 21:05:03.485344,2023-01-31 21:05:03.573790,0 days 00:00:00.088446,0.9735939165818805,0.4871352828794975,COMPLETE
2,0.6956521739130435,2023-01-31 21:05:03.573961,2023-01-31 21:05:03.688837,0 days 00:00:00.114876,0.09879558214520179,0.033272279192430365,COMPLETE
3,0.6956521739130435,2023-01-31 21:05:03.689048,2023-01-31 21:05:03.716357,0 days 00:00:00.027309,0.7761712464935006,0.5545899344087856,COMPLETE
4,0.6956521739130436,2023-01-31 21:05:03.716549,2023-01-31 21:05:03.740149,0 days 00:00:00.023600,0.026401380712654035,0.57946384855088,COMPLETE
5,0.7043478260869565,2023-01-31 21:05:03.740351,2023-01-31 21:05:03.762890,0 days 00:00:00.022539,0.02385866016038147,0.46658234018727973,COMPLETE
6,0.6434782608695653,2023-01-31 21:05:03.763070,2023-01-31 21:05:03.783115,0 days 00:00:00.020045,0.010902480906309134,0.9282133189062374,COMPLETE
7,0.6956521739130435,2023-01-31 21:05:03.783298,2023-01-31 21:05:03.809419,0 days 00:00:00.026121,0.6579572485751184,0.603006349497991,COMPLETE
8,0.6956521739130435,2023-01-31 21:05:03.809618,2023-01-31 21:05:03.835609,0 days 00:00:00.025991,0.7949772531426861,0.7382992568107435,COMPLETE
9,0.6782608695652174,2023-01-31 21:05:03.835806,2023-01-31 21:05:03.857568,0 days 00:00:00.021762,0.011323439282061762,0.8038243048764148,COMPLETE
10,0.6956521739130435,2023-01-31 21:05:03.857763,2023-01-31 21:05:03.885372,0 days 00:00:00.027609,0.10972200380725733,0.9470956315623923,COMPLETE
11,0.7130434782608696,2023-01-31 21:05:03.885573,2023-01-31 21:05:03.912992,0 days 00:00:00.027419,0.03725149794710847,0.3728381748137023,COMPLETE
12,0.6956521739130435,2023-01-31 21:05:03.913180,2023-01-31 21:05:03.940856,0 days 00:00:00.027676,0.05752002511690737,0.29437985398779837,COMPLETE
13,0.7043478260869565,2023-01-31 21:05:03.941046,2023-01-31 21:05:03.967784,0 days 00:00:00.026738,0.053165935949413066,0.9808337949462395,COMPLETE
14,0.6956521739130435,2023-01-31 21:05:03.967999,2023-01-31 21:05:03.996307,0 days 00:00:00.028308,0.24834292581369044,0.317898590796693,COMPLETE
15,0.7043478260869565,2023-01-31 21:05:03.996506,2023-01-31 21:05:04.022239,0 days 00:00:00.025733,0.03038897405720107,0.765416540571912,COMPLETE
16,0.6956521739130435,2023-01-31 21:05:04.022477,2023-01-31 21:05:04.049557,0 days 00:00:00.027080,0.13476359412160208,0.8442188937820199,COMPLETE
17,0.6956521739130436,2023-01-31 21:05:04.049747,2023-01-31 21:05:04.073822,0 days 00:00:00.024075,0.04280502355165391,0.9985478957054243,COMPLETE
18,0.7043478260869566,2023-01-31 21:05:04.074061,2023-01-31 21:05:04.099124,0 days 00:00:00.025063,0.0191679725930611,0.6845937409303045,COMPLETE
19,0.6956521739130435,2023-01-31 21:05:04.099319,2023-01-31 21:05:04.122968,0 days 00:00:00.023649,0.01504613590106582,0.6776258163436283,COMPLETE
20,0.7043478260869566,2023-01-31 21:05:04.123137,2023-01-31 21:05:04.146511,0 days 00:00:00.023374,0.0170443373151752,0.6775648986835556,COMPLETE
21,0.7043478260869566,2023-01-31 21:05:04.146691,2023-01-31 21:05:04.171840,0 days 00:00:00.025149,0.017786522704338052,0.6815254858744808,COMPLETE
22,0.7043478260869566,2023-01-31 21:05:04.172021,2023-01-31 21:05:04.197703,0 days 00:00:00.025682,0.018104410153543617,0.4077752353263383,COMPLETE
23,0.7043478260869565,2023-01-31 21:05:04.197881,2023-01-31 21:05:04.222429,0 days 00:00:00.024548,0.03154108561983155,0.6547279521273714,COMPLETE
24,0.7217391304347827,2023-01-31 21:05:04.222651,2023-01-31 21:05:04.246445,0 days 00:00:00.023794,0.017593434746041175,0.730143234994935,COMPLETE
25,0.7043478260869566,2023-01-31 21:05:04.246619,2023-01-31 21:05:04.270264,0 days 00:00:00.023645,0.023111283308199147,0.8796069155293802,COMPLETE
26,0.6782608695652174,2023-01-31 21:05:04.270480,2023-01-31 21:05:04.293536,0 days 00:00:00.023056,0.010880739088548497,0.7710026414285743,COMPLETE
27,0.6956521739130436,2023-01-31 21:05:04.293711,2023-01-31 21:05:04.318373,0 days 00:00:00.024662,0.03882118839943927,0.8682851125697189,COMPLETE
28,0.7043478260869565,2023-01-31 21:05:04.318582,2023-01-31 21:05:04.342927,0 days 00:00:00.024345,0.02144750439584868,0.5503493977688447,COMPLETE
29,0.7043478260869565,2023-01-31 21:05:04.343220,2023-01-31 21:05:04.367987,0 days 00:00:00.024767,0.03262553485664175,0.6254939111507586,COMPLETE
30,0.6521739130434783,2023-01-31 21:05:04.368163,2023-01-31 21:05:04.392228,0 days 00:00:00.024065,0.013010089513247143,0.7476562658063464,COMPLETE
31,0.7130434782608697,2023-01-31 21:05:04.392427,2023-01-31 21:05:04.416016,0 days 00:00:00.023589,0.016727847362435815,0.6743277991531236,COMPLETE
32,0.6956521739130435,2023-01-31 21:05:04.416213,2023-01-31 21:05:04.440355,0 days 00:00:00.024142,0.01482849660141402,0.712639208415086,COMPLETE
33,0.7130434782608697,2023-01-31 21:05:04.440550,2023-01-31 21:05:04.464112,0 days 00:00:00.023562,0.019940238175472632,0.8087218266890287,COMPLETE
34,0.6608695652173913,2023-01-31 21:05:04.464305,2023-01-31 21:05:04.487846,0 days 00:00:00.023541,0.014834009432041223,0.8066833366458339,COMPLETE
35,0.7043478260869566,2023-01-31 21:05:04.488055,2023-01-31 21:05:04.512332,0 days 00:00:00.024277,0.02318884334299603,0.9032180108107561,COMPLETE
36,0.7043478260869566,2023-01-31 21:05:04.512528,2023-01-31 21:05:04.537619,0 days 00:00:00.025091,0.02707110761308305,0.620283579651926,COMPLETE
37,0.6608695652173913,2023-01-31 21:05:04.537808,2023-01-31 21:05:04.561332,0 days 00:00:00.023524,0.013989562137290181,0.8332275643716368,COMPLETE
