number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.6434782608695653,2023-01-31 21:04:13.272748,2023-01-31 21:04:14.123419,0 days 00:00:00.850671,16,5,94,COMPLETE
1,0.6434782608695653,2023-01-31 21:04:14.123636,2023-01-31 21:04:15.036717,0 days 00:00:00.913081,16,3,96,COMPLETE
2,0.6434782608695653,2023-01-31 21:04:15.036965,2023-01-31 21:04:15.629810,0 days 00:00:00.592845,15,5,33,COMPLETE
3,0.6173913043478262,2023-01-31 21:04:15.630023,2023-01-31 21:04:16.654556,0 days 00:00:01.024533,9,3,71,COMPLETE
4,0.6695652173913043,2023-01-31 21:04:16.654752,2023-01-31 21:04:16.926590,0 days 00:00:00.271838,3,5,84,COMPLETE
5,0.6347826086956521,2023-01-31 21:04:16.926813,2023-01-31 21:04:17.676852,0 days 00:00:00.750039,11,5,75,COMPLETE
6,0.6434782608695653,2023-01-31 21:04:17.677073,2023-01-31 21:04:18.524429,0 days 00:00:00.847356,11,4,26,COMPLETE
7,0.6434782608695653,2023-01-31 21:04:18.524628,2023-01-31 21:04:19.366958,0 days 00:00:00.842330,19,3,48,COMPLETE
8,0.6434782608695653,2023-01-31 21:04:19.367171,2023-01-31 21:04:20.008806,0 days 00:00:00.641635,12,5,20,COMPLETE
9,0.6869565217391304,2023-01-31 21:04:20.009038,2023-01-31 21:04:21.105140,0 days 00:00:01.096102,10,2,35,COMPLETE
10,0.6434782608695653,2023-01-31 21:04:21.105339,2023-01-31 21:04:21.636407,0 days 00:00:00.531068,5,2,50,COMPLETE
11,0.6260869565217391,2023-01-31 21:04:21.636610,2023-01-31 21:04:21.857940,0 days 00:00:00.221330,3,2,68,COMPLETE
12,0.6521739130434783,2023-01-31 21:04:21.858127,2023-01-31 21:04:22.550876,0 days 00:00:00.692749,6,4,83,COMPLETE
13,0.6608695652173913,2023-01-31 21:04:22.551106,2023-01-31 21:04:23.291488,0 days 00:00:00.740382,7,4,37,COMPLETE
14,0.6260869565217391,2023-01-31 21:04:23.291687,2023-01-31 21:04:23.578724,0 days 00:00:00.287037,3,2,58,COMPLETE
15,0.6173913043478262,2023-01-31 21:04:23.578932,2023-01-31 21:04:24.644179,0 days 00:00:01.065247,9,3,43,COMPLETE
16,0.6434782608695653,2023-01-31 21:04:24.644396,2023-01-31 21:04:25.421379,0 days 00:00:00.776983,20,4,84,COMPLETE
17,0.6869565217391304,2023-01-31 21:04:25.421588,2023-01-31 21:04:26.745173,0 days 00:00:01.323585,13,2,60,COMPLETE
18,0.6869565217391304,2023-01-31 21:04:26.745382,2023-01-31 21:04:27.917242,0 days 00:00:01.171860,14,2,62,COMPLETE
19,0.6869565217391304,2023-01-31 21:04:27.917459,2023-01-31 21:04:28.978461,0 days 00:00:01.061002,13,2,30,COMPLETE
20,0.6608695652173913,2023-01-31 21:04:28.978667,2023-01-31 21:04:29.836336,0 days 00:00:00.857669,18,2,18,COMPLETE
21,0.6869565217391304,2023-01-31 21:04:29.836552,2023-01-31 21:04:31.331588,0 days 00:00:01.495036,14,2,60,COMPLETE
22,0.6695652173913043,2023-01-31 21:04:31.331804,2023-01-31 21:04:32.681763,0 days 00:00:01.349959,9,2,63,COMPLETE
23,0.6434782608695653,2023-01-31 21:04:32.681990,2023-01-31 21:04:33.704937,0 days 00:00:01.022947,13,3,48,COMPLETE
24,0.6869565217391304,2023-01-31 21:04:33.705163,2023-01-31 21:04:34.730464,0 days 00:00:01.025301,10,2,53,COMPLETE
25,0.6434782608695653,2023-01-31 21:04:34.730675,2023-01-31 21:04:35.569037,0 days 00:00:00.838362,17,3,40,COMPLETE
26,0.6869565217391304,2023-01-31 21:04:35.569245,2023-01-31 21:04:36.529251,0 days 00:00:00.960006,14,2,66,COMPLETE
27,0.6782608695652174,2023-01-31 21:04:36.529462,2023-01-31 21:04:37.686263,0 days 00:00:01.156801,12,2,77,COMPLETE
28,0.6260869565217392,2023-01-31 21:04:37.686459,2023-01-31 21:04:38.579479,0 days 00:00:00.893020,8,3,56,COMPLETE
29,0.6869565217391304,2023-01-31 21:04:38.579691,2023-01-31 21:04:39.688810,0 days 00:00:01.109119,16,2,43,COMPLETE
