number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
40,0.735103155103155,2023-01-31 16:04:34.835680,2023-01-31 16:04:34.941389,0 days 00:00:00.105709,8,7600,11.588186935328315,1183,COMPLETE
41,0.735103155103155,2023-01-31 16:04:34.942388,2023-01-31 16:04:35.047106,0 days 00:00:00.104718,2,7800,13.085686263182271,1285,COMPLETE
42,0.735103155103155,2023-01-31 16:04:35.048104,2023-01-31 16:04:35.159804,0 days 00:00:00.111700,-1,7100,10.792547861196974,1421,COMPLETE
43,0.735103155103155,2023-01-31 16:04:35.160801,2023-01-31 16:04:35.270508,0 days 00:00:00.109707,3,5800,10.228405109307177,1304,COMPLETE
44,0.735103155103155,2023-01-31 16:04:35.271505,2023-01-31 16:04:35.390188,0 days 00:00:00.118683,14,9200,11.341478421679732,872,COMPLETE
45,0.735103155103155,2023-01-31 16:04:35.391185,2023-01-31 16:04:35.526821,0 days 00:00:00.135636,7,8300,9.14769984408817,683,COMPLETE
46,0.735103155103155,2023-01-31 16:04:35.528817,2023-01-31 16:04:35.634533,0 days 00:00:00.105716,4,9600,9.658874982975204,1251,COMPLETE
47,0.735103155103155,2023-01-31 16:04:35.635531,2023-01-31 16:04:35.736260,0 days 00:00:00.100729,2,9500,13.954065341974392,1346,COMPLETE
48,0.735103155103155,2023-01-31 16:04:35.737258,2023-01-31 16:04:35.850955,0 days 00:00:00.113697,-1,7200,10.724587637565431,1036,COMPLETE
49,0.735103155103155,2023-01-31 16:04:35.852948,2023-01-31 16:04:35.956670,0 days 00:00:00.103722,-1,8600,8.858999526066103,927,COMPLETE
