number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_l1_ratio,params_n_components,state
29,0.8838358339287131,2023-01-31 00:25:47.851514,2023-01-31 00:25:51.015555,0 days 00:00:03.164041,0.021126129440255235,0.4528257849021701,0.4255925038925954,23,COMPLETE
30,0.8838358339287131,2023-01-31 00:25:51.015645,2023-01-31 00:25:53.988340,0 days 00:00:02.972695,0.014204570647304385,0.7168514405497717,0.1736550001831706,25,COMPLETE
31,0.8803624445729709,2023-01-31 00:25:53.988435,2023-01-31 00:25:55.897727,0 days 00:00:01.909292,0.018552922081676745,0.5056144232086544,0.5903644296808762,9,COMPLETE
32,0.8956005398110662,2023-01-31 00:25:55.897817,2023-01-31 00:25:58.494445,0 days 00:00:02.596628,0.013305724046087286,0.5867045207769256,0.31122866932980053,15,COMPLETE
33,0.8706005398110662,2023-01-31 00:25:58.494546,2023-01-31 00:26:00.938971,0 days 00:00:02.444425,0.01361176706992486,0.668463918643496,0.27809371016855355,16,COMPLETE
34,0.8897191697191698,2023-01-31 00:26:00.939063,2023-01-31 00:26:03.500606,0 days 00:00:02.561543,0.01008325645735573,0.5811726759164367,0.3511305005834622,19,COMPLETE
35,0.8838358339287131,2023-01-31 00:26:03.500701,2023-01-31 00:26:06.506096,0 days 00:00:03.005395,0.03002096082264238,0.7205260006851351,0.20389069432244988,22,COMPLETE
36,0.8838358339287131,2023-01-31 00:26:06.506194,2023-01-31 00:26:09.636858,0 days 00:00:03.130664,0.04353615788042001,0.6594851220026771,0.3886925579270233,29,COMPLETE
37,0.8706005398110662,2023-01-31 00:26:09.636951,2023-01-31 00:26:11.737885,0 days 00:00:02.100934,0.028928613857266423,0.4571390488745357,0.4419632908201137,12,COMPLETE
38,0.8839338731443995,2023-01-31 00:26:11.738387,2023-01-31 00:26:14.152844,0 days 00:00:02.414457,0.07236692585657921,0.7836194595323929,0.2913879481904502,17,COMPLETE
39,0.8706005398110662,2023-01-31 00:26:14.152949,2023-01-31 00:26:17.524527,0 days 00:00:03.371578,0.020579291150270202,0.9249399517661299,0.36626992038505546,19,COMPLETE
40,0.8956005398110662,2023-01-31 00:26:17.524627,2023-01-31 00:26:20.638344,0 days 00:00:03.113717,0.013076422591488336,0.6803333978633723,0.2993334901003704,30,COMPLETE
41,0.8956005398110662,2023-01-31 00:26:20.638438,2023-01-31 00:26:23.053451,0 days 00:00:02.415013,0.012870857190286831,0.6918774839866814,0.3017975372521246,30,COMPLETE
42,0.8838358339287131,2023-01-31 00:26:23.053547,2023-01-31 00:26:25.945378,0 days 00:00:02.891831,0.013180872932546325,0.6889051582161911,0.24541511168544095,30,COMPLETE
43,0.8897191697191698,2023-01-31 00:26:25.945472,2023-01-31 00:26:29.075312,0 days 00:00:03.129840,0.012759337488699594,0.5732934202107296,0.3858258695656161,28,COMPLETE
44,0.8633230134158927,2023-01-31 00:26:29.075457,2023-01-31 00:26:32.600775,0 days 00:00:03.525318,0.016981137906276852,0.6298283230931517,0.1683033329940199,29,COMPLETE
45,0.8838358339287131,2023-01-31 00:26:32.600934,2023-01-31 00:26:36.096108,0 days 00:00:03.495174,0.025204263740986773,0.692877199167006,0.29825228230420836,30,COMPLETE
46,0.8956005398110662,2023-01-31 00:26:36.096201,2023-01-31 00:26:40.518599,0 days 00:00:04.422398,0.012586888540067136,0.7369446152437795,0.3313947630827687,28,COMPLETE
47,0.8956005398110662,2023-01-31 00:26:40.518703,2023-01-31 00:26:43.964400,0 days 00:00:03.445697,0.012659731506616504,0.7183033025892872,0.32302716394356135,28,COMPLETE
48,0.8597058823529412,2023-01-31 00:26:43.964507,2023-01-31 00:26:48.496044,0 days 00:00:04.531537,0.016331526701182906,0.7561335947454251,0.09258749137815112,27,COMPLETE
49,0.8838358339287131,2023-01-31 00:26:48.496171,2023-01-31 00:26:52.849482,0 days 00:00:04.353311,0.021022565134605757,0.8670137065024391,0.2343357989562824,29,COMPLETE
