number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,params_n_components,state
33,0.8972672064777327,2023-01-31 00:23:41.820284,2023-01-31 00:23:45.171674,0 days 00:00:03.351390,0.062152224961355154,0.28018597637335324,16,COMPLETE
34,0.8828571428571429,2023-01-31 00:23:45.171759,2023-01-31 00:23:48.042427,0 days 00:00:02.870668,0.10023343016209381,0.17446435520035647,13,COMPLETE
35,0.8971691672620465,2023-01-31 00:23:48.042517,2023-01-31 00:23:51.247767,0 days 00:00:03.205250,0.048417515082478,0.3311483263083791,17,COMPLETE
36,0.8998496240601505,2023-01-31 00:23:51.247854,2023-01-31 00:23:53.827686,0 days 00:00:02.579832,0.07214307519627355,0.21254909804362768,14,COMPLETE
37,0.8738461538461537,2023-01-31 00:23:53.827772,2023-01-31 00:23:56.410889,0 days 00:00:02.583117,0.09071273758308664,0.023566624708270645,10,COMPLETE
38,0.8933333333333333,2023-01-31 00:23:56.410984,2023-01-31 00:23:59.200698,0 days 00:00:02.789714,0.11705845786550953,0.2101498773318427,13,COMPLETE
39,0.8689338731443994,2023-01-31 00:23:59.200785,2023-01-31 00:24:02.236629,0 days 00:00:03.035844,0.07257753658101516,0.11593504577775027,19,COMPLETE
40,0.8971691672620465,2023-01-31 00:24:02.236720,2023-01-31 00:24:05.204277,0 days 00:00:02.967557,0.04498771806114938,0.32402433392239066,14,COMPLETE
41,0.8972672064777327,2023-01-31 00:24:05.204358,2023-01-31 00:24:07.985809,0 days 00:00:02.781451,0.06316378577580409,0.2253506502554961,16,COMPLETE
42,0.886984126984127,2023-01-31 00:24:07.986276,2023-01-31 00:24:11.132305,0 days 00:00:03.146029,0.07498925739023729,0.08711385272594957,15,COMPLETE
43,0.8838358339287131,2023-01-31 00:24:11.132403,2023-01-31 00:24:13.219932,0 days 00:00:02.087529,0.03865573525120939,0.41594830382525366,11,COMPLETE
44,0.8805128205128205,2023-01-31 00:24:13.220025,2023-01-31 00:24:15.450447,0 days 00:00:02.230422,0.05218429420049146,0.17565114872955856,17,COMPLETE
45,0.8689338731443994,2023-01-31 00:24:15.450538,2023-01-31 00:24:17.284690,0 days 00:00:01.834152,0.07296080558395229,0.31422977817167597,8,COMPLETE
46,0.886984126984127,2023-01-31 00:24:17.284801,2023-01-31 00:24:19.470468,0 days 00:00:02.185667,0.08901591818612742,0.05606561964240073,14,COMPLETE
47,0.8839338731443995,2023-01-31 00:24:19.470708,2023-01-31 00:24:22.287513,0 days 00:00:02.816805,0.03562310212501885,0.2270150780956956,18,COMPLETE
48,0.8972672064777327,2023-01-31 00:24:22.287649,2023-01-31 00:24:24.970924,0 days 00:00:02.683275,0.06431606786371655,0.2924200635922889,16,COMPLETE
49,0.8589338731443995,2023-01-31 00:24:24.971012,2023-01-31 00:24:27.405144,0 days 00:00:02.434132,0.050970889077444306,0.3759189374454124,12,COMPLETE
