number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,params_n_components,state
0,0.8594444444444445,2023-01-31 01:21:51.943135,2023-01-31 01:21:57.177212,0 days 00:00:05.234077,0.7447496675518587,0.9538971463576792,27,COMPLETE
1,0.8865162907268171,2023-01-31 01:21:57.177343,2023-01-31 01:22:00.883058,0 days 00:00:03.705715,0.47394234225701176,0.714115108943875,16,COMPLETE
2,0.8403624445729708,2023-01-31 01:22:00.883144,2023-01-31 01:22:04.061763,0 days 00:00:03.178619,0.32027982685335005,0.5249850488442364,18,COMPLETE
