number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_l1_ratio,params_n_components,state
0,0.6514285714285715,2023-01-31 01:22:04.064297,2023-01-31 01:25:37.931559,0 days 00:03:33.867262,0.11733173661650483,3.2661999249438214,0.6827375313584685,13,COMPLETE
1,0.6514285714285715,2023-01-31 01:25:37.932068,2023-01-31 01:28:21.094132,0 days 00:02:43.162064,0.5790757218021346,4.576483067791527,0.1398006526032637,28,COMPLETE
2,0.8332467532467532,2023-01-31 01:28:21.094382,2023-01-31 01:31:03.439714,0 days 00:02:42.345332,0.03375770981411535,4.143249743959833,0.18867850378295747,18,COMPLETE
