number,value,datetime_start,datetime_complete,duration,params_alpha,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,state
0,0.8332467532467532,2023-01-31 01:17:12.000804,2023-01-31 01:19:21.969729,0 days 00:02:09.968925,4.985701258157898,8,200,6.641598396904444,23,1089,COMPLETE
1,0.8332467532467532,2023-01-31 01:19:21.969826,2023-01-31 01:19:41.357410,0 days 00:00:19.387584,1.849103861163897,13,3500,14.017835223600088,19,497,COMPLETE
2,0.8332467532467532,2023-01-31 01:19:41.357505,2023-01-31 01:21:51.941094,0 days 00:02:10.583589,10.985443538404732,15,7700,9.129179031488196,28,835,COMPLETE
